profile name	profile description
Clases de Patinaje Sobre8Ruedas	"Sobre8Ruedas es un club y escuela de patinaje de Madrid, con monitores titulados de larga experiencia y excelentes competencias en esta disciplina con la meta puesta en “las cosas bien hechas”.

 

Toda la Escuela apuesta por el fomento del patinaje como deporte, como ocio, como actividad para toda la familia y, porque no, como medio alternativo de transporte sano y ecológico.



Clases de patinaje en todo Madrid:  http://www.sobre8ruedas.com/clases-de-patinaje-madrid

 

Donde damos clases de patinaje: http://www.sobre8ruedas.com/donde-clases-y-cursos-de-patinaje-en-madrid-iaprende-a-patinar-seguro-seguro



Eventos en patines: http://www.sobre8ruedas.com/eventos-en-patines-clases-de-patinaje-en-madrid-iaprende-a-patinar"
Club Acción Tenis Galatzo	"Tenis,Tenis en Andratx."
Club Actividades Subacuaticas Sedavi	La Escuela Buceo Sedavi en Valencia pertenece a la Federación Actividades Subacuaticas de la Comunidad Valenciana con una gran experiencia en la enseñanaza del buceo recreativo de todos los niveles y especialidades.Organizamos salidas de buceo.
Club Ajedrez Alicante	Ajedrez en Alacant.
"Club Alpino Barcelona, Club de Montaña"	"Club Alpino de Barcelona, es una entidad deportiva sin ánimo de lucro inscrita en la Generalitat de Catalunya y federada en la FEEC. El CAB tiene como objeto social la promoción, gestión, coordinación y práctica del alpinismo y deportes de montaña en general tales como la escalada, esquí de travesía, trecking y otros. Actualmente el CAB está formado por un grupo de apasionados a la montaña cuyo fin es realizar de forma conjunta actividades de montaña que incluye diversas modalidades.  

La misión del CAB es reunir a los aficionados a los deportes de montaña poniendo a disposición toda la coordinación, formación y seguridad necesaria para disfrutar en grupo este maravilloso deporte. El Club reúne a socios y aficionados a la montaña sin renunciar a  nadie por nivel, experiencia o edad y dotando a todos ellos de actividades en grupo acorde al nivel de nuestros socios.  

""Pasión por la Montaña""
C/ Eduardo Conde 22-42
08034 Barcelona
Horarios: Lunes de 18 a 21pm 
Mail | info@clubalpinobarcelona.com
Web | www.clubalpinobarcelona.com
"
Club Alpino Sevillano	"El Club Alpino Sevillano nació entre 1969 y 1970, como segregación de la O.J.E./Sherpa (Organización Juvenil Española) de un grupo de escaladores y montañeros de Sevilla.

La década de los 70 y 80 fueron etapas de continua proyección, dedicación y aportes al deporte del montañismo tales como:
-Creación y equipamiento de escuelas de escalada deportiva y vías de clásica, como por ejemplo Cerro del Hierro, Carmona, Villaverde, Grazalema, etc…
-Ascensiones invernales en Sierra Nevada, y demás macizos ibéricos.(Años 70 y 80)
-Ascensión al Aconcagua (Principios de los 80)
-Distinción mejor deportista sevillano a Rafael Jiménez Díaz Benjumea por Cara Norte del Dru.(Mediados de los 80)
-Escaladas y ascensiones en los Alpes por vías de dificultad como Cassin al Piz Badile, Grosson di trenta en Dolomitas, Espolón de la Brenva al Mont Blanc, Marmolada, etc…(Años 80)
-Expediciones y ascensiones pioneras a Marruecos tanto al Atlas como a la Garganta del Todra. (Años 80)
-1ª ascensión andaluza al Monte Kenia, con la travesía de las dos cumbre, y ascensión al Kilimanjaro.(Finales de los 80)

La década de los 90 fueron años de divulgación y actividades con un numeroso grupo de montañeros, capacitadas para conseguir logros y en continua proyección como por ejemplo:
-Primera expedición y ascensión andaluza al Glaciar de los Polacos del Aconcagua .(Inicios de los 90)
-Vías de dificultad en Alpes como Tour Ronde, Zmutt al Cervino. (Inicios de los 90)
-1º Guía andaluz de la compañía de St. Gervais. (Mediados de los 90)
-Expedición a Andes Peruanos con ascensiones a la Ferrari del Alpamayo. (Mediados de los 90)
-Participación de David Becerra en la expedición invernal Andaluza al Makalu. (Mediados de los 90)
-Expediciones y ascensiones con participación femenina a Alpes con cumbres como Duforpitze o Mont Blanc. (Finales de los 90)
-Expediciones Nórdicas.

En la última década del siglo XXI, se siguen haciendo expediciones y actividades para el fomento del montañismo como ejemplo:

-Primeros Ochomiles andaluces femeninos a cumbres principales de Ochomiles, con Lina Quesada en las cimas del Cho Oyu, GII, Everest.
-Expediciones a Ochomiles como Lhotse, Broad Peak, Daulaghiri, Shisha Pangma, Manaslu.
-Primera expedición andaluza íntegramente femenina, con el objetivo conseguido de las cinco participantes en la cumbre del Elbrus.(Tres miembros del Club Lina Quesada, Georgia Saldaña, María Erazquin).
-Expedición íntegramente de socios del Club con cumbre al McKinley, posiblemente primera expedición totalmente andaluza.
-Expediciones a Sudamérica por diferentes socios del club con ascenso a cumbres como Cotopaxi, Chimborazo, Illimani, P. Alpamayo, Aconcagua (4 integrantes en cumbre a la vez), con actividad de miembros como Ale Del Moral, David Rodríguez, Javier Colado, Salvador “Babi”.
-Expediciones y ascensiones femeninas al Baruntse, Mustagh-Ata, Kilimanjaro, Mt. Kenia, Aguille Rochefort, Aconcagua, P.Alpamayo, Cotopaxi, Chimborazo.
-Expediciones de Club y ascenso a cumbres como Cervino, Norte Tour Ronde, Travesía Monte Rosa (14 cuatromiles) con miembros como Juanmi Álvarez, Andrés garcía, Oscar Lérida, “Gati”.
-Participación con socios del club a grupo de jóvenes alpinistas de la federación."
Club Amistad	"Esquí,Snowboard en Madrid."
Club Arquers Cerdanyola del Vallès	"El club dels Arquers de Cerdanyola del Vallès, som una associació de caràcter no lucratiu, que reuneix a molta gent al voltant de l’esport del Tir amb Arc, una activitat lúdica i esportiva que va començar als albors de la activitat humana i que ha perdurat fins avui.

Som un club d’arquers i arqueres de totes les edats, que ens trobem principalment els caps de setmana al camp de tir i que organitzem activitats relacionades amb el tir amb arc, ja sigui amb arc olímpic, arc recte o longbow, o bé arc mecànic o de politges."
Club Atlètic Igualada	"Atletismo,Correr,Jogging,Running en Igualada."
Club Atlètic Manresa	"Atletismo,Correr,Jogging,Running en Manresa."
Club Atletisme Canovelles	"L'any 1999 va néixer al municipi de Canovelles una entitat esportiva que pretenia promoure l'atletisme: el CLUB ATLETISME CANOVELLES! Tot va començar gràcies a un grup de persones que sortien junts a córrer i que van decidir emprendre un projecte amb l'objectiu de fer arribar el món de l'atletisme arreu del municipi... Any rere any, aquesta iniciativa anava agafant força fins que avui dia ens trobem amb un club format per gairebé 200 atletes.

CLUB ATLETISME CANOVELLES... MÉS QUE UN CLUB!
Fes un recorregut pel nostre club i descobreix la seva essència. 
El Club Atletisme Canovelles vetlla per formar GRANS ATLETES i GRANS PERSONES!
Si t'agrada l'atletisme i vols formar part del nostre projecte... NO HO DUBTIS MÉS! VINE al Club Atletisme Canovelles! T'esperem amb els braços ben oberts!"
Club Atletisme Gavà	"Atletismo,Correr,Jogging,Running en Gavà."
Club Atletisme Vilafranca	"Atletismo,Correr,Jogging,Running en Vilafranca del Penedès."
Club Atletismo La Sansi	"Curriculum organizativo del Club La Sansi 2013:

- La Sansi de Úbeda (Jaén) www.lasansiubeda.com de 5km con 650 inscritos 17/02/13
- La Sansi de Ávila (casco antiguo) de 5km www.avila5k.com 800 participantes 05/05/13
- Carrera solidaria Valencia 5km www.valencia5k.com 1.000 participantes 12/05/13
- 1ª Carrera popular del Masnou 5km www.cursaelmasnou.com 1.000 participantes 19/05/13
- 1a Sansi nocturna Sant Just Desvern 5k www.santjust5k.com 1.000 participantes 01/06/13
- 10km Villa Olímpica de Barcelona www.lasansiolimpica.com  4.500 participantes 16/06/13
- XXIV Cursa de Malgrat 10km www.cursamalgrat.com 1.000 participantes. 10/08/13
- 2ª Sansi Bellaterra de 5km www.lasansibellaterra.com 1.500 participantes 11/09/13
- 10km y 5kms Ciudad de Berga www.cursaberga.com 900 participantes 13/10/13
- Marcha solidaria de 5km www.lasansirichi.com 1.000 participantes. Octubre´13*
- 2ª Sansi St. Feliu de Llobregat 5km www.lasansisantfeliu.com 2.000 participantes. 17/11/13
- 1ª Sansi de Lleida de 5km www.lasansilleida.com 1.500 participantes 01/12/13*
- La Sansi 7 en Viladecans de 5km www.lasansiviladecans.com 2.000 participantes 22/12/13
- 34ª San Silvestre del Masnou www.santsilvestredelmasnou.com 3.100 participantes 26/12/13*

 El curriculum completo en http://www.lasansi.com/?page_id=238"
Club Atletismo Maratón Marchena	"Breve reseña histórica: Creado a finales de los años 90, con la finalidad de arupar a los numerosos practicantes de atletismo de nuestra localidad, el Club de Atletismo de Maratón Marchena, consta en la actualidad con casi una centena de socios, sin mencionar las categorias menores agrupadas en la Escuela Deportiva Municipal de Atletismo; Escuela que durante bastante tiempo fue objetivo principal del Club y que tuvo su inicio en el nuevo siglo. Para más información visite nuestra página. "
Club Atletismo Suanzes. Entrenamientos y Escuela de Atletismo	"El club dispone de escuela de atletismo para categorias menores, grupos de entrenamiento para categorias mayores de distintos niveles y disciplinas y tambíen clases de mantenimiento para adultos.<br class="""">
Avenida 25 de Septiembre s/n (esquina Calle Alcalá 500). Metro Suanzes."
Club Baloncesto Ambroz	"Baloncesto,Baloncesto en Plasencia."
Club Baloncesto Castellón	"Baloncesto,Baloncesto en Castellón de la Plana."
Club Baloncesto Castrillón	"Baloncesto,Baloncesto en Piedras Blancas."
Club Baloncesto Chamberí	"Club de baloncesto fundado en 2007 con equipos en varias categorías
"
Club Baloncesto Femenino Badajoz	"Baloncesto,Baloncesto en Badajoz."
Club Baloncesto Fodeba	"Baloncesto,Baloncesto en Oviedo."
Club Baloncesto La Argañosa	"Baloncesto,Baloncesto en Oviedo."
Club Baloncesto Navia	"Baloncesto,Baloncesto en Navia."
Club Baloncesto Tíjola	"Baloncesto,Baloncesto en Tíjola."
CLUB BASAKICK	"BASAKICK somos un club de deportes de contacto (DDCC), nos dedicamos a la enseñanza, promoción y expansión de nuestros deportes.

Estamos abscritos a la Federacion Bizkaina y Vasca de Boxeo y DDAA. Competimos y entrenamos en las siguientes disciplinas:

    kick boxing
    k-1
    full-contact
    boxeo

Realizamos:
    Veladas y exhibiciones de artes marciales y deportes de contacto.

    Organizamos cursos de deportes de contacto, defensa personal, defensa personal femenina,…
    Monitores de boxeo, kick boxing,… contamos con gente preparada.

Si quieres ponerte en contacto con nosotros:
    preparador principal: Jabier Perez  Tfono: 675 71 31 62 – jabi@basakick.net
    2ª preparadora: Itziar Onaindi -  itzi@basakick.net
Ayudantes: Mikel Perez – mkberri@hotmail.com , Andres Camino y Michel Mateos

Junta directiva: Mikel Perez, Itziar Onaindi, Alfonso del Portillo, Agustin Zalbidea, Alberto Bilbao, Aitor Ruiz y Jabier Perez.
    Colaboradores: Sofia Vicario, Maider Prieto, Garazi Azkue, Andoni Barrenetxea,Jessika Onaindi y Gorka Izquierdo.
BASAKICK somos un club de deportes de contacto (DDCC), nos dedicamos a la enseñanza, promoción y expansión de nuestros deportes (boxeo, full contact, kick boxing, k-1, thai boxing, grappling,…).

BASAKICK lo formó Jabier Perez, tras años de experiencia como competidor (campeón de España en 2.002 de Full Contact) y de entrenador (equipo C21-Bilbao). En julio de 2.008 se crea BASAKICK,  con la idea de poner un nombre que englobe a todos los gimnasios, competidores y colaboradores que se implican en este proyecto.

Se crean 2 clubs adscritos a la federación bizkaina y vasca de boxeo. Uno es “Club Deportivo de boxeo BASAKICK de Erandio” y el otro “Club Deportivo de boxeo BASAKICK GOGOR” de Urduliz, a través de estos clubs se gestionan las licencias, veladas,… que se llevan a cabo.

Nuestra idea es llegar a conseguir un grupo de gente coordinada y con diferentes funciones para poder realizar mas y mejores acciones: Deportiva, promoción de veladas, divulgación de DDCC,…

- Los preparadores principales, son Jabi Perez (entrenador nacional y preparador físico) e Itziar Onaindi (Instructora y monitora deportiva). Además de la inestimable ayuda de los competidores y gente de mas experiencia, que ayudan cuando hace falta en el proceso de enseñanza de las clases.

- Con la promoción de veladas, a pesar de que no siempre se consiguen rentabilidades económicas positivas, se intenta tener un capital para acciones deportivas y sociales del club (viajes, equipajes, cenas,…). Y la inestimable ayuda de amigos y compañeros que echan una mano en lo que haga falta.

- Para la divulgación de los deportes de contacto, se esta buscando las posibilidades tanto en nuevas tecnologías (internet) como en otras mas convencionales (periódico, radio, TV,…). Creemos que es la pata mas coja para poder levantar estos deportes, a parte de la única manera de salir de la cueva y de que el gran publico conozca lo espectacular, difícil y sufrido de estas practicas.
Creemos que es algo necesario para que nuestros deportistas tengan un reconocimiento social mas amplio y quizás un paso imprescindible para que tengan un reconocimiento económico acorde al esfuerzo y constancia que tienen. Todo esto lo tomamos, como un proyecto supraclub, no nos conformamos solamente con el trabajo con aficionados y deportistas de nuestro club, sino que pretendemos abarcar otras áreas en donde vemos carencias en el ámbito de los deportes de contacto en general, sabiendo que si estos mejoran, nosotros mejoramos con ellos. Por lo que en la medida que podemos, intentamos trabajar en diferentes aspectos con los clubs de nuestro entorno.

Creemos que los deportes de contacto tienen mucho que ofrecer a la sociedad, particularmente a la juventud, y uno de nuestros objetivos es informar de esto a instituciones publicas y privadas, así como al gran público.

Partimos de estas premisas:
- Los deportes de contacto son tan validos o mas que las artes marciales tradicionales para la formación integral del individuo. Dotándole de una preparación física, disciplina, seguridad en sí mismo (conocimiento de un efectivo método de defensa personal), descargar energías y alejar a sus practicantes de conductas autopunitivas.

- Pueden ser practicados por casi todo tipo de publico, no siempre se debe asociar la competición con la practica. Para competir la preparación física, psicológica y técnica debe ser muy importante y no esta al alcance de todos. Que dentro de nuestros gimnasios halla gente de diferente sexo, preparación, edad. Con diferentes objetivos, es algo que nos enriquece, a pesar de que las cabezas visibles en las veladas, sean los competidores.

-  Actualmente los deportes de contacto para una parte importante de la sociedad (normalmente debido al desconocimiento), son apreciados como deportes violentos. Con nuestro comportamiento intentaremos cambiar esa mentalidad."
Club Basket Corpi Gijón	"Baloncesto,Baloncesto en Gijón."
Club Basquet L'Hospitalet	Baloncesto en L'Hospitalet de Llobregat.
Club Basquet Mallorca	Baloncesto en Inca.
Club Básquet Olesa	"Baloncesto,Baloncesto en Olesa de Montserrat."
Club Bàsquet Salt	"Baloncesto,Baloncesto en Salt."
CLUB BCN RUGBY SUBAQUÀTIC	"El Club BCN Rugby Subaquatic (club federado) se creó hace más de 5 años con el  objetivo divulgar y motivar a futuros deportistas en esta modalidad en España. Además de los entrenamientos semanales que se realizan en la piscina Picornell, asiste a diferentes campeonatos. Este año han sido campeonas de España en categoría femenina y han tenido la oportunidad de jugar la "" Champions"" en Berlín.

Además de otras actividades, organizan anualmente en agosto el Torneo Abierto Internacional de Rugby Subacuático, que cuenta con la participación de más de 150 deportistas y más de 300 aficionados, y con el apoyo y reconocimiento de empresas o entidades como Antena 3, Colomer o Turismo de Barcelona."
Club Beisbol i Softbol Sant Boi	"El Club de béisbol y softbol Sant Boi fue fundado en el año 1971, hasta el año 1983 se llamó Cinco Rosas, nombre del barrio donde está ubicado el club, fue a partir de ésa fecha cuando cambió su nombre para representar a toda la ciudad.

En los primeros años su terreno de juego era el campo de fútbol que tenia que compartir con todos los equipos del barrio hasta que se trasladó a un descampado donde lentamente lo fue transformando hasta conseguir el estadio que hoy posee.

El palmarés conquistado hasta la actualidad en el club es muy importante, consiguiendo más de 40 campeonatos de Cataluña y 20 de España teniendo en cuenta todas las categorías del club, así como un gran número de torneos en Cataluña y el resto del estado Español además de varios torneos Internacionales. Destacan 3 copas del Rey, 2 campeonatos de la Liga española de béisbol (2003 y 2010), y un sub-campeonato en la Recopa de Europa de béisbol (2007).

Actualmente, contamos con 11 equipos en el club y un total de 140 jugadores:
-3 Equipos alevines mixtos
-1 Equipo extraescolar 
-1 Equipo infantil mixto
-1 Equipo infantil de Softbol
-1 Equipo cadete de softbol
-1 Equipo cadete de beisbol
-1 Equipo juvenil de beisbol
-1 Equipo senior amateur de beisbol
-1 Equipo senior División de Honor "
Club BTT Céllecs Bici	"El Club BTT CÉLLECS BICI va néixer l’any 1994, gràcies a la il.lusió d'un grup de Vilanovins i gent d’altres pobles de la rodalia, que en molt bon ambient i esperit aventurer volien fer conèixer l’esport del Mountain Bike, al nostre poble. La nostra voluntat no és pas la de crear un club tancat,  tot al contrari, voldríem que tots vosaltres en forméssiu part i ens ajudéssiu a engrandir i millorar aquest gran club dia a dia.
Una constant durant tots aquest anys han estat les sortides dels Diumenges al matí, concentrats al Centre Cultural davant de qualsevol inclemència meteorològica. Sempre hi ha algú que està disposat a sortir faci fred o calor, amb pluja o vent, sigui hivern o estiu. La constància ha estat sempre la força del nostre club. Una altre standard del nostre club, han estat les sortides ""especials"". Una o dues anuals de cap de setmana (amb la família o només els que pedalem) a indrets més o menys allunyats tals com el Ripollès, el Baix Ebre, el Priorat, la Cerdanya; fins hi tot n’hi ha que han anat a fer el camí de Santiago. La resta de sortides especials solen ser de Diumenge al matí, on pugem les bicis al cotxe o al tren i ens anem lluny a conèixer altres paratges, indrets i sobretot altres cultures gastronòmiques . La freqüència d’aquestes sortides acostuma a ser trimestral.
Actualment som uns trenta cinc socis formant part del club, dels quals,n’hi ha cinc que són bastant jovenets, això significa que la nostra intenció és mimar a la cantera perquè serà el futur de nostre club. Som molts els que ens estimem la bici i no voldríem deixar-nos a ningú sense col·laborar en aquesta tasca tant gratificant."
Club BTT Salí	"El Club BTT Salí és un nou projecte esportiu a Cardona, bassat en la creació de nous reptes, sempre buscant les emocions de descubrir nous paratges, el contacte amb la natura i transmetre els nostres coneixements de l’entorn. L’intenció és de promocionar l’esport combinant el turisme amb la bicicleta.

Volem donar a conèixer Cardona com a centre neuràlgic de sortides de btt pels diferents llocs d’interés que ens envolten.

Comptarem amb l’ajuda i assesorament de Sílvia Rovira que amb la seva llarga experiència ens ha dissenyat els diferents circuits carregats d’interés turistic.

Promocionant els antics camins que constituien la xarxa per distribuir la sal arreu de Catalunya, d’aquí el nom del club; Salí.
També organitzem sortides arreu de Catalunya, buscant circuits amb molt interés ja sigui cultural i/o paisatgistic

Et sorpendran.

Si vols ser del club , per sols 8€ l'any.

Tindràs descompte en algunes botigues, també de bici , com Tomàs Domingo, en  Hotels, restaurants i en productes powerbar.

També et tramitem la llicència."
Club C BikeWomen	"Somos un grupo de chicas aficionadas a la MTB y el ciclismo.

Club C BikeWomen se fundó en octubre 2011, después de la I MTB de la Mujer que se organizó en Sitges-Barcelona. Dicho evento fue posible gracias a la organización de la revista BIKE y la colaboración del club ciclista BikeGarraf – Racing Team, entre otros. Durante este evento, nos hemos dado cuenta de que hay muchas mujeres interesadas y practicantes de la BTT, aunque siempre que salimos por las montañas, vemos pocas mujeres en medio de grupos numerosos de hombres. Con la esperanza de fomentar cada vez más la práctica del deporte, más precisamente la BTT, entre las mujeres, hemos creado el Club C BikeWomen. Esperamos con eso proveer un espacio agradable para que todas la integrantes del club, sea cual sea su nivel, encuentre su grupo para poder hacer salidas y a su vez ir evolucionando. Las más experimentadas darán apoyo a las que están iniciándose, creando así un espíritu de grupo y superación.

Hemos empezado con una simple página en Facebook, y ahora ya tenemos nuestro propio Blog, cuenta Twitter, y una pagina web. A través de estos medios de comunicación, compartiremos información de salidas y eventos, ya sean organizados por nosotras o por otras entidades.

BikeWomen es un verdadero grupo de mujeres, gestionado por ellas y unidas por una pasión: la bicicleta y todo lo que la rodea – amistad, naturaleza, libertad, diversión, salud, compañerismo, en definitiva, vida.

Somos un grupo pionero, con espíritu emprendedor, y dedicado a fomentar por toda España la participación de la mujer en el deporte.

***

Som un grup de noies aficionades a la MTB i el ciclisme.

Club C BikeWomen es va fundar a l’octubre 2011, després de la I MTB de la Dona que es va organitzar a Sitges-Barcelona. Aquest esdeveniment va ser possible gràcies a l’organització de la revista BIKE i la col · laboració del club ciclista BikeGarraf – Racing Team, entre altres. Durant aquest esdeveniment, ens hem adonat que hi ha moltes dones interessades i practicants de la BTT, encara que sempre que sortim per les muntanyes, veiem poques dones enmig de grups nombrosos d’homes. Amb l’esperança de fomentar cada vegada més la pràctica de l’esport, més precisament la BTT, entre les dones, hem creat el Club C BikeWomen. Esperem amb això proveir un espai agradable perquè totes les integrants del club, sigui quin sigui el seu nivell, trobi el seu grup per poder fer sortides ia la vegada anar evolucionant. Les més experimentades donaran suport a què estan iniciant, creant així un esperit de grup i superació.

Hem començat amb una simple pàgina a Facebook, i ara ja tenim el nostre propi Blog, compte Twitter, i una pàgina web. A través d’aquests mitjans de comunicació, compartirem informació de sortides i esdeveniments, ja siguin organitzats per nosaltres o per altres entitats.

BikeWomen és un veritable grup de dones, gestionat per elles i unides per una passió: la bicicleta i tot el que l’envolta – amistat, natura, llibertat, diversió, salut, companyerisme, en definitiva, vida.

Som un grup pioner, amb esperit emprenedor, i dedicat a fomentar per tot Espanya la participació de la dona en l’esport."
Club Califas de Orientación de Córdoba	Carrera de orientación en Córdoba.
Club Centre Excursionista Sords Catalunya	"Som un club d'excursionistes sords de catalunya, fem excursions i altres esports. Les excursions les fem normalment per Catalunya, tot i que a vegades anem a fora de Catalunya.
Es benvingut tothom, poden participar gent sorda i gent oient."
Club Ciclista Bayarque	"Ciclismo,Tenis en Bayarque."
Club ciclista Bigues	Ciclismo en La Font del Bou.
Club Ciclista Currito de Santiponce	"Corría el año 1.991 cuando un grupo de amigos decidimos dar forma a nuestras salidas dominicales desde Itálica, que se venían haciendo desde mucho antes, fundando el Club Ciclista Currito de Santiponce, que lleva el nombre de quien ha sido la máxima figura del ciclismo en esta localidad Francisco Moreno Velázquez, Currito de Santiponce.
Desde los comienzos su principal actividad ha sido, precisamente, la misma que hasta este momento: reunirnos un grupo de amigos para echar la mañana del domingo en bicicleta, que es nuestra afición y ponemos en ello toda nuestra ilusión, nuestra pasión y casi siempre, nuestro sacrificio.
Durante este tiempo hemos convivido, reído, pedaleado, viajado, … nos hemos mojado, caído, sufrido, … pero siempre con ganas y entusiasmo, las más veces, aunque también las ha habido que mejor no haber salido a la carretera.
De cualquier modo, aquí estamos después de todos estos años renovándonos, realizando nuevas metas, que nos llevan cada vez más lejos y nos exigen cada vez más esfuerzo.
Como no podía ser de otra manera, también el Club Ciclista Currito de Santiponce se asoma a través de la red al resto del mundo, o mejor, abrimos una ventana para que todo el mundo se pueda asomar a nuestro Club y conocernos.
Saludamos a todo aquel que navegando se encuentre con nuestra página y lo invitamos a compartir ideas y opiniones con nosotros, especialmente a los clubes de nuestro entorno, a los que este saludo se dirige especialmente.
Que las carreteras nos deparen muchos buenos momentos a todos los que practicamos el ciclismo."
club ciclista el viso	"El Club Ciclista el viso está compuesto por 67 socios, procedentes de varias localidades de los Alcores como el Viso del Alcor,Mairena del Alcor y Alcalá de Guadaìra.

&gt;Tiene su sede en el Polideportivo Nero del Viso del Alcor,y lleva mas de 20 años organizando carreras,tanto para Veteranos como juveniles,social entre socios,viajes organizados(Córdoba),subida al puerto del Boyar.

&gt;Si te gusta el ciclismo, de carretera, anìmate a salir con nosotros.
En éste Club hay cabida para todas las edades y todos los niveles.
Todas las semanas hay rutas en bicicleta de carretera,(sábados y domingos)
Si conoces una ruta interesante, anímate a compartirla."
Club ciclista Espinosa	Ciclismo en Espinosa de los Monteros.
Club Ciclista Montaña 8:30	"El Club Ciclista Montaña 8:30 de Marchena lo formamos un buen grupo de personas dispuestas a pasarlo bien mientras practicamos este maravilloso deporte de la bicicleta de montaña.

El club se configura como un espacio de convivencia donde lo mismo encuentras gente compitiendo a gran escala que otros cuyos fines se centran en ir creando la cantera juvenil necesaria para el mantenimiento de esta práctica deportiva.

Abrimos este espacio en la red a fin de darnos a conocer también en este medio y con la aspiración de hacer llegar los beneficios de esta sana afición al máximo número de personas.

Quedáis invitados desde este momento todos los que queráis participar de nuestras actividades. Seguro que no os arrepentiréis.


Nuestra mano está tendida,

LA DIRECTIVA"
Club Ciclista Riells i Viabrea	"El nostre club neix l'any 1999, per iniciativa de tres amants d'aquest esport, l'Alfonso Ruiz, en Joaquim Trillo i l'Enric Ortiz. 
Primerament vàrem formar part com a una secció ciclista en el Centre Esportiu Riells i Viabrea. 
El club es dedicà a programar sortides els caps de setmana, tant de mountain bike com de carretera. També vàrem començar a organitzar la Pedalada Popular dins dels actes de la Festa Major de Riells i Viabrea. 
L'any 2004 vàrem fer un gran pas endavant i vàrem realitzar les gestions corresponents per a constituir-nos com a club independent. 
El primer president va ser en Joan Ortoll Delmall. 
També aquest any i per iniciativa d'en Joan Ortoll, va néixer ""La I Marxa Cicloturista Terra de l'Aigua"", que forma part del ""Circuit de Llarga Distància de la FCC"", i del ""Circuito de Cicloturismo de Ciclismo a Fondo. 
L'any 2007, el club fa un relleu en la direcció i va ser elegit com a nou president en Joan Martos Arreondo. 
El club va prendre un nou impuls i va reorganitzar la seva estructura, això va permetre, amb la col·laboració de l'Ajuntament de Riells i Viabrea, organitzar també la Travessa en BTT Terra de l'Aigua. 
A part de les activitats del club i de les organitzacions de les marxes i pedalades, també va començar a col.laborar en altres marxes (Marxa Cicloturista Vila de Pineda, Barcelona-Perpinyà-Barcelona) en tasques de senyalització i logística. 
Aquest mateix any torna a haver-hi relleu en la junta directiva i el nou president és l'Enric Ortiz i León. 
En l'actualitat, la Marxa Cicloturista ha celebrat la 9ª edició, debutant amb força èxit en el calendari de cicloturisme de ""Medio Fondo"" de la Real Federación Española de Ciclismo. L'altre novetat en aquesta edició, és el fer dos recorreguts de diferent dificultat aconsseguint una inscripció consolidada de més de 500 inscrits. 
També la Pedalada Popular ha arribat a la 9ª edició. 
Respecte a la Travessa en BTT, hem celebrat la 4ª edició, amb un nou record d'inscrits de més de 150 bikers. 
Continuem amb les col·laboracions en d'altres marxes i esdeveniments que hi ha al nostre poble. 
El nostre club disposa d'un potencial humà que, de forma altruista, es posa a la nostra disposició per col·laborar en tots els temes que comporta la realització d'aquests esdeveniments. Gent del poble i rodalies ho fan possible. 
També disposem d'uns esponsors fidels, als quals voldríem agrair les seves aportacions, tant econòmiques com materials. 
A tots ells, el nostre agraïment i reconeixement."
Club d´Esquí Torello	"Esquí,Esquí en Torelló."
Club d'esgrima SAM	"La Sala d’Armes Montjuïc (S.A.M.) és el club d’esgrima més important de Catalunya, tant pel nombre de socis com pels resultats esportius.El club està situat Complex Esportiu Municipal Reina Elisenda, al carrer Duquessa d’Orleans n. 29, en ple barri barceloní de Sarrià. 
Actualment el club som al voltant de 350 associats, i a banda dels resultats esportius al SAM intentem apropar la pràctica d’aquest esport a tothom, des dels 6 fins als 70 anys o més enllà, mitjançant campanyes de promoció a les escoles, cursos d’iniciació per a nens, joves i adults. 


"
Club de Atletismo Apol-Ana	"Atletismo,Correr en Alacant."
Club de Atletismo de Santa Pola	Atletismo en Santa Pola.
Club de Campo de Vigo	"Baloncesto,Fútbol,Padel,Tenis en Oia."
Club de Campo Villa de Madrid	"Natación,Padel,Patinaje,Tenis en Madrid."
Club de Esgrima Azahar	Esgrima en Castellón de la Plana.
Club de Esquí Loma Verde	Esquí en Bilbo.
